  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS	    sampling seconds
  1	   -3.05636e+19	                   1	        0.27	         -45.0923	             -90.184	        -4.02168e+19	        -8.04336e+19	            -45.0923	             -90.184	            -97.6956	         4.02168e+19	          -0.0233862	                   0
  2	   -4.37734e+15	            0.869565	        0.46	         -45.1971	            -90.3931	        -4.73419e+15	        -9.46838e+15	            -45.1971	            -90.3931	            -97.2118	         4.73419e+15	          -0.0330746	                0.46
  3	    -9.3702e+12	            0.769231	        0.65	         -45.3019	            -90.6021	        -1.82335e+13	        -3.64669e+13	            -45.3019	            -90.6021	            -97.0157	         1.82335e+13	          -0.0405099	                0.64
  4	   -8.04451e+10	            0.645161	        0.76	         -45.4067	            -90.8112	        -8.12686e+10	        -1.62537e+11	            -45.4067	            -90.8112	            -96.9373	         8.12686e+10	          -0.0467789	                0.75
  5	   -1.33468e+10	            0.714286	        0.89	         -45.5115	            -91.0203	         -1.6006e+10	        -3.20119e+10	            -45.5115	            -91.0203	            -96.9235	          1.6006e+10	          -0.0523028	                1.13
  6	   -2.60806e+09	            0.606061	        1.34	         -45.6163	            -91.2294	        -2.89301e+09	        -5.78601e+09	            -45.6163	            -91.2294	            -96.9505	         2.89301e+09	          -0.0572974	                1.55
  7	   -5.90237e+08	            0.588235	        5.07	         -45.7211	            -91.4384	         -5.9352e+08	        -1.18704e+09	            -45.7211	            -91.4384	            -97.0057	          5.9352e+08	          -0.0618911	                 1.8
  8	   -1.98669e+08	            0.512821	        0.69	          1.21199	             2.42835	        -2.06402e+08	        -4.12805e+08	             1.21199	             2.42835	             -3.0057	         2.06402e+08	          -0.0661674	                1.21
  9	   -7.32657e+07	            0.833333	         0.8	          1.10718	             2.21928	        -7.73678e+07	        -1.54736e+08	             1.10718	             2.21928	            -3.09726	         7.73678e+07	          -0.0701843	                1.35
 10	   -1.67339e+07	                 0.5	        1.51	          43.0346	             86.0747	        -1.92166e+07	        -3.84333e+07	             43.0346	             86.0747	             80.8632	         1.92167e+07	          -0.0739841	                8.81
 11	   -4.00869e+06	            0.408163	        1.95	          42.9298	             85.8656	         -4.1941e+06	         -8.3882e+06	             42.9298	             85.8656	             80.7492	         4.19415e+06	          -0.0775987	               22.37
 12	   -1.44207e+06	            0.444444	        1.45	           42.825	             85.6565	        -1.45057e+06	        -2.90114e+06	              42.825	             85.6565	             80.6269	         1.45062e+06	          -0.0810529	                2.49
 13	        -518254	            0.465116	        1.59	          81.1225	             162.252	             -518557	        -1.03711e+06	             81.1225	             162.252	             157.302	              518644	          -0.0843664	                2.04
 14	        -304094	            0.363636	        1.55	          81.0177	             162.043	             -316139	             -632275	             81.0177	             162.043	             157.167	              316226	          -0.0875552	                4.41
 15	        -173600	            0.416667	        1.48	          80.9129	             161.834	             -179421	             -358838	             80.9129	             161.834	             157.027	              179507	          -0.0906323	                3.25
 16	       -90052.8	            0.408163	        1.08	          80.8081	             161.625	            -92851.5	             -185699	             80.8081	             161.625	             156.882	             92937.6	          -0.0936089	                3.76
 17	       -48066.8	            0.408163	        1.03	          80.7033	             161.416	            -50110.6	             -100218	             80.7033	             161.416	             156.733	             50196.6	          -0.0964943	                 1.9
 18	       -25649.2	            0.526316	        1.49	          80.5985	             161.207	            -27211.9	            -54420.2	             80.5985	             161.207	             156.581	             27297.8	          -0.0992963	                2.31
 19	       -13486.3	             0.37037	        1.34	          80.4937	             160.998	            -13809.2	            -27614.7	             80.4937	             160.998	             156.426	             13894.9	           -0.102022	                2.73
 20	       -7752.41	            0.408163	        0.98	          110.789	              221.59	            -8340.64	            -16677.7	             110.789	              221.59	             217.069	             8456.73	           -0.104677	                2.05
 21	       -5880.02	            0.526316	        0.73	          110.685	             221.381	            -6156.39	            -12309.2	             110.685	             221.381	             216.908	             6272.37	           -0.107267	                1.25
 22	        -3517.9	            0.465116	        0.88	           110.58	             221.172	            -3550.43	            -7097.28	              110.58	             221.172	             216.745	              3666.3	           -0.109796	                1.64
 23	       -2621.64	             0.47619	         1.1	          110.475	             220.962	            -2642.32	            -5281.29	             110.475	             220.962	              216.58	             2758.09	           -0.112269	                 2.9
 24	       -1907.55	            0.465116	        0.77	           110.37	             220.753	             -1935.7	            -3867.96	              110.37	             220.753	             216.414	             2051.37	           -0.114689	                1.57
 25	       -1231.67	            0.512821	        0.76	          119.286	             238.585	            -1259.21	            -2514.85	             119.286	             238.585	             234.286	              1383.8	           -0.117195	                1.44
 26	       -812.874	                 0.5	        0.76	          119.181	             238.376	             -830.27	            -1656.99	             119.181	             238.376	             234.116	             954.749	           -0.119519	                1.18
 27	       -567.166	            0.416667	        0.59	          119.076	             238.167	            -580.538	            -1157.51	             119.076	             238.167	             233.945	             704.913	           -0.121799	                0.98
 28	       -414.452	            0.344828	        0.54	          118.972	             237.958	            -427.152	            -850.811	             118.972	             237.958	             233.772	             551.421	           -0.124037	                1.02
 29	        -306.66	            0.588235	        0.44	          118.867	             237.749	            -323.909	            -644.894	             118.867	             237.749	             233.597	             448.074	           -0.126236	                1.07
 30	       -237.826	            0.434783	         0.5	          118.762	              237.54	            -246.844	            -490.847	             118.762	              237.54	             233.422	             370.904	           -0.128398	                0.88
 31	       -191.845	                 0.5	        0.79	          118.657	             237.331	            -202.498	            -401.778	             118.657	             237.331	             233.245	             326.454	           -0.130524	                1.58
 32	       -163.705	                 0.4	        0.72	          118.552	             237.122	            -172.691	            -342.437	             118.552	             237.122	             233.068	             296.541	           -0.132617	                1.92
 33	       -150.203	            0.425532	        0.54	          118.448	             236.913	            -158.299	            -315.798	             118.448	             236.913	             232.889	             282.044	           -0.134677	                2.33
 34	        -138.82	             0.28169	        0.47	          118.343	             236.704	            -146.659	            -292.079	             118.343	             236.704	              232.71	               270.3	           -0.136707	                1.88
 35	       -129.442	             0.47619	        0.52	          118.238	             236.495	            -137.845	            -273.767	             118.238	             236.495	             232.529	             261.381	           -0.138708	                1.42
 36	       -125.015	            0.333333	        0.65	          118.133	             236.286	            -132.482	            -264.964	             118.133	             236.286	             232.348	             255.913	            -0.14068	                1.43
 37	        -122.36	            0.263158	        0.76	          118.028	             236.077	            -129.567	            -259.971	             118.028	             236.077	             232.166	             252.893	           -0.142625	                1.08
 38	       -119.384	             0.31746	        0.81	          117.923	             235.868	              -126.6	            -254.201	             117.923	             235.868	             231.984	             249.822	           -0.144545	                1.06
 39	       -116.419	             0.30303	        0.81	          119.252	             238.083	            -123.677	            -248.652	             119.252	             238.083	             234.667	             247.954	           -0.410414	                1.19
 40	        -114.21	            0.277778	        0.71	          119.147	             237.874	            -121.409	            -244.251	             119.147	             237.874	             234.483	             245.582	           -0.412747	                1.35
 41	       -112.288	                 0.2	        0.82	          119.042	             237.665	            -119.341	            -240.488	             119.042	             237.665	             234.298	             243.409	           -0.415051	                1.66
 42	       -111.474	            0.350877	         0.6	          118.937	             237.456	            -118.108	            -238.858	             118.937	             237.456	             234.113	             242.071	           -0.417328	                3.72
 43	       -108.201	            0.392157	        0.56	          118.833	             237.248	            -116.138	            -233.393	             118.833	             237.248	             233.927	             239.997	           -0.419577	                0.79
 44	       -102.499	            0.253165	        0.63	          118.728	             237.039	            -111.038	            -222.233	             118.728	             237.039	              233.74	             234.791	             -0.4218	                 1.2
 45	       -91.1438	            0.235294	        0.59	          118.623	              236.83	            -101.239	            -201.573	             118.623	              236.83	             233.554	             224.888	           -0.423998	                1.56
 46	       -83.5305	             0.30303	        0.68	          118.518	             236.621	            -92.9619	            -184.664	             118.518	             236.621	             233.366	             216.506	           -0.426172	                1.12
 47	       -74.2342	            0.384615	        0.53	          118.413	             236.413	             -84.835	            -168.254	             118.413	             236.413	             233.178	             208.274	           -0.428322	                0.91
 48	       -68.6613	            0.277778	        0.55	          118.309	             236.204	            -79.1161	            -156.351	             118.309	             236.204	              232.99	              202.45	            -0.43045	                1.05
 49	       -61.3468	            0.384615	        0.62	          118.204	             235.995	            -70.8148	             -141.53	             118.204	             235.995	             232.801	             194.044	           -0.432555	                1.13
 50	       -56.7296	            0.294118	        0.47	          118.099	             235.786	            -65.7434	            -131.587	             118.099	             235.786	             232.612	             188.868	           -0.434669	                0.75
 51	       -47.2326	            0.344828	        0.44	          117.994	             235.577	            -57.9341	            -114.365	             117.994	             235.577	             232.423	             180.954	           -0.436732	                0.75
 52	       -40.8699	            0.222222	        0.49	           125.16	             250.348	            -50.3739	            -99.9384	              125.16	             250.348	             246.775	             180.832	           -0.169849	                0.65
 53	       -34.4542	             0.21978	        0.59	          125.258	             250.198	            -44.4375	            -88.2368	             125.258	             250.198	             246.989	             174.791	           -0.383403	                0.98
 54	       -24.2876	            0.416667	        0.44	          125.153	             249.989	            -35.3932	            -70.4223	             125.153	             249.989	             246.799	             165.641	           -0.385319	                0.57
 55	       -18.0971	            0.307692	         0.4	          125.329	             249.938	            -28.0003	            -55.9902	             125.329	             249.938	             247.168	             158.144	           -0.647962	                0.58
 56	       -12.1079	                0.25	        0.58	          125.224	             249.729	            -22.5971	             -44.833	             125.224	             249.729	             246.977	             152.636	           -0.650262	                0.91
 57	       -3.74856	            0.338983	         0.6	          125.155	             249.527	            -14.2357	            -27.9746	             125.155	             249.527	             246.858	              144.17	           -0.697127	                1.77
 58	        3.95424	            0.263158	        0.61	           125.05	             249.319	            -6.15474	            -12.0573	              125.05	             249.319	             246.666	             135.984	           -0.699463	                0.86
 59	         12.399	            0.285714	        6.53	          124.946	              249.11	            0.773104	             3.28573	             124.946	              249.11	             246.473	             128.951	           -0.701777	                1.27
 60	        16.9778	            0.357143	        0.35	          124.841	             248.902	             6.83148	              13.677	             124.841	             248.902	             246.281	             122.788	           -0.704071	                0.76
 61	        22.6032	             0.19802	        0.41	          124.736	             248.693	             12.3989	              25.093	             124.736	             248.693	             246.088	             117.116	           -0.706377	                 0.4
 62	        30.1209	            0.141844	        0.47	          129.934	             259.891	             19.9679	             39.8983	             129.934	             259.891	             256.501	             115.259	           -0.191387	                0.49
 63	        35.8423	            0.147059	        0.37	           129.83	             259.682	             24.8314	              49.867	              129.83	             259.682	             256.309	              110.29	           -0.193884	                0.42
 64	        40.8167	            0.135135	        0.34	          129.726	             259.473	             30.3109	             60.4513	             129.726	             259.473	             256.117	             104.706	           -0.196391	                0.43
 65	        46.5189	            0.110497	        0.42	          132.227	             264.348	             35.5624	             71.9707	             132.227	             264.348	             261.136	             101.886	           -0.277776	                0.62
 66	        52.1915	            0.147059	        0.38	          132.123	             264.139	              40.754	             81.8515	             132.123	             264.139	             260.942	               96.59	           -0.279643	                 0.5
 67	        56.5199	            0.101523	         0.4	          132.018	              263.93	             46.1714	             91.6126	             132.018	              263.93	             260.748	             91.0678	           -0.281203	                0.38
 68	        63.2447	            0.147059	        0.36	          132.209	             263.871	             51.7547	             104.636	             132.209	             263.871	             261.145	             85.3796	           -0.569395	                0.39
 69	        69.2958	           0.0966184	        0.41	          133.081	             265.472	             58.2898	             116.498	             133.081	             265.472	             262.904	             79.6172	           -0.669323	                 0.5
 70	        74.6139	           0.0985222	        0.39	          132.976	             265.264	             63.7218	             127.218	             132.976	             265.264	             262.709	             74.0805	            -0.67136	                0.41
 71	        78.7461	            0.111732	         0.4	          132.977	             265.092	             67.9598	             134.968	             132.977	             265.092	             262.724	             69.7376	           -0.796148	                 0.4
 72	        82.0921	           0.0851064	        0.42	          132.894	             264.888	             70.9475	             141.685	             132.894	             264.888	             262.574	             66.6451	           -0.827914	                0.35
 73	         86.388	           0.0600601	        0.57	          132.793	              264.68	             74.7159	             150.347	             132.793	              264.68	             262.385	             62.7719	           -0.834527	                0.57
 74	        90.4992	            0.108696	        0.46	          132.696	             264.474	             78.7213	             157.943	             132.696	             264.474	             262.205	             58.6617	           -0.847035	                0.72
 75	        93.6275	           0.0790514	        0.44	          132.592	             264.266	             82.1447	             163.708	             132.592	             264.266	             262.011	             55.1335	           -0.850642	                0.52
 76	        97.0936	            0.103627	        0.41	          134.667	             269.111	             85.3991	             170.287	             134.667	             269.111	             266.174	             54.4251	           -0.372859	                0.37
 77	        101.132	           0.0873362	        0.39	          134.563	             268.902	             89.5498	             178.531	             134.563	             268.902	             265.979	             50.1695	           -0.375188	                0.38
 78	        105.239	           0.0980392	        0.41	          134.635	             268.759	             93.1343	             186.421	             134.635	             268.759	             266.137	             46.4802	            -0.57031	                0.35
 79	        108.133	           0.0847458	        0.57	          134.564	             268.555	             96.5556	             192.262	             134.564	             268.555	             266.008	             42.9542	           -0.614499	                0.45
 80	        110.342	           0.0823045	        0.31	          134.524	              268.36	             98.8406	              196.66	             134.524	              268.36	             265.941	             40.5643	           -0.698269	                0.42
 81	        113.412	           0.0840336	        0.46	          134.531	             268.194	             101.475	             202.526	             134.531	             268.194	             265.967	             37.8249	           -0.831914	                0.48
 82	        115.679	           0.0740741	        0.55	          134.426	             267.985	             104.107	             206.719	             134.426	             267.985	              265.77	             35.0883	           -0.834558	                0.61
 83	        118.184	           0.0593472	        0.53	          134.632	             268.111	             106.683	             211.714	             134.632	             268.111	             266.194	              32.408	            -1.06052	                0.55
 84	        121.342	           0.0787402	        0.43	          134.575	             267.923	             109.078	             217.544	             134.575	             267.923	             266.093	             29.9081	            -1.12574	                0.49
 85	        122.928	            0.106952	        0.37	          134.481	             267.718	              111.08	             220.481	             134.481	             267.718	             265.916	             27.8005	            -1.14257	                0.37
 86	        125.547	           0.0865801	        0.44	          134.393	             267.516	             113.463	             225.664	             134.393	             267.516	             265.753	             25.3134	            -1.16953	                0.34
 87	        127.359	           0.0862069	        0.43	          134.493	             267.438	             115.315	             229.219	             134.493	             267.438	             265.964	             23.3566	            -1.42508	                0.35
 88	          128.9	            0.103093	        0.44	          134.587	             267.387	              117.18	             232.345	             134.587	             267.387	             266.165	             21.3862	            -1.67617	                0.47
 89	         130.44	            0.117647	        0.44	          134.503	             267.193	             118.491	             235.039	             134.503	             267.193	             266.007	             19.9703	            -1.71108	                0.51
 90	        132.138	           0.0477327	        0.71	          134.432	             267.008	             120.156	             238.399	             134.432	             267.008	             265.877	             18.2011	             -1.7673	                0.66
 91	        133.309	            0.058651	         0.4	            134.5	             266.953	             121.382	             240.553	               134.5	             266.953	             266.024	             16.8699	            -2.01323	                0.47
 92	         134.47	           0.0413223	        0.58	           134.55	             266.925	             122.564	              242.85	              134.55	             266.925	             266.135	             15.5829	            -2.20759	                0.37
 93	        135.535	           0.0623053	        0.49	           134.58	             266.891	             123.456	              244.66	              134.58	              266.89	             266.208	              14.586	            -2.37569	                0.54
 94	        136.314	           0.0417537	        0.64	          134.639	             266.939	             124.442	             246.456	             134.639	             266.939	             266.336	             13.4957	            -2.51605	                0.56
 95	        137.318	            0.060241	        0.61	           134.65	             266.967	             125.261	             248.089	              134.65	             266.967	             266.369	             12.5716	            -2.51992	                0.35
 96	        138.008	           0.0662252	         0.3	          134.645	             266.884	              126.05	              249.58	             134.645	             266.884	             266.369	             11.6778	            -2.68567	                0.35
 97	        138.558	           0.0722022	        0.41	          134.727	             266.967	             126.701	             250.796	             134.727	             266.967	             266.544	             10.9224	            -2.89955	                0.35
 98	         139.06	           0.0533333	        0.54	          134.714	             266.929	             127.203	             251.758	             134.713	             266.928	             266.528	             10.3151	            -2.95487	                0.55
 99	        139.944	           0.0431034	        0.92	          134.673	             266.821	             127.791	             252.971	             134.672	             266.819	             266.456	             9.62257	            -3.05434	                0.89
100	        140.513	           0.0375235	        3.45	          134.636	             266.718	              128.34	              254.08	             134.634	             266.716	             266.393	             8.96913	            -3.17344	                1.96
101	        141.167	            0.045977	        0.58	           134.67	             266.793	             128.913	             255.216	             134.666	             266.789	              266.47	             8.49303	            -3.17487	                4.07
102	        141.505	           0.0724638	        0.47	          134.686	             266.776	              129.39	             256.104	             134.681	             266.769	             266.513	             7.91056	            -3.39143	                0.43
103	        141.887	           0.0632911	         0.5	          134.708	             266.806	             129.802	             256.888	             134.701	             266.796	             266.566	             7.39389	            -3.48685	                0.43
104	        142.485	            0.078125	        0.43	          134.714	             266.807	             130.197	             257.686	             134.703	             266.791	             266.587	             6.89442	            -3.57244	                0.47
105	         142.87	           0.0749064	         0.5	          134.771	             266.909	             130.594	             258.466	             134.755	             266.887	             266.709	             6.42886	            -3.67142	                0.45
106	        143.171	           0.0634921	        0.44	          134.721	             266.795	             130.937	             259.134	             134.698	             266.761	             266.617	             5.98117	            -3.79098	                0.35
107	        143.501	           0.0775194	        0.42	          134.765	             266.866	             131.251	             259.749	             134.735	             266.821	             266.713	             5.56218	              -3.941	                0.41
108	        143.757	           0.0896861	        0.42	          134.816	             266.957	             131.527	             260.286	             134.778	               266.9	             266.823	             5.22774	            -4.07127	                0.42
109	        144.054	           0.0884956	        0.46	          134.832	             266.975	             131.781	             260.784	             134.783	               266.9	             266.861	             4.86927	            -4.24184	                0.51
110	         144.31	           0.0823045	        0.47	           134.81	              266.92	             132.013	             261.241	             134.747	             266.821	             266.824	             4.53249	            -4.40334	                0.55
111	        144.681	            0.114943	        0.38	           134.79	             266.869	             132.244	             261.707	             134.709	             266.738	             266.789	             4.19674	            -4.59254	                0.47
112	        144.981	           0.0711744	        0.55	          134.836	             266.959	              132.48	              262.18	             134.736	             266.797	             266.886	             4.04286	            -4.67812	                0.81
113	        145.152	           0.0593472	        0.75	          134.877	             267.042	             132.687	             262.592	             134.758	             266.847	             266.973	             3.86994	            -4.74467	                0.53
114	        145.313	           0.0507614	        0.31	          134.891	             267.062	             132.871	             262.953	             134.749	             266.825	             267.007	             3.58186	            -4.96162	                0.38
115	        145.504	           0.0619195	        0.58	          134.892	             267.057	             133.033	             263.276	             134.723	             266.771	             267.012	             3.31488	            -5.17399	                0.48
116	        145.618	           0.0613497	        0.38	          134.891	              267.05	             133.181	             263.569	             134.692	             266.711	             267.013	             3.06208	            -5.36076	                0.53
117	        145.817	           0.0877193	         0.4	          134.949	             267.167	             133.313	             263.833	             134.732	             266.797	             267.133	              2.8724	            -5.44662	                 0.4
118	        145.969	           0.0873362	        0.48	          134.939	             267.143	             133.443	             264.091	             134.685	             266.705	             267.115	             2.63804	            -5.67622	                0.48
119	        146.096	           0.0877193	        0.37	          134.971	             267.208	             133.558	             264.321	             134.692	             266.725	             267.184	             2.41798	            -5.79255	                0.44
120	        146.226	            0.103627	        0.51	          134.992	             267.249	             133.665	             264.535	             134.684	             266.712	             267.229	             2.30134	            -5.95346	                0.42
121	        146.299	           0.0970874	        0.31	          134.989	             267.241	             133.762	             264.728	             134.642	             266.634	             267.224	              2.0998	            -6.15206	                0.44
122	        146.451	           0.0961538	        0.48	          135.055	             267.444	              133.85	             264.906	             134.699	             266.874	             267.362	              3.8749	            -4.54135	                0.49
123	        146.558	           0.0865801	        0.44	          135.053	             267.427	             133.934	             265.074	             134.658	             266.783	              267.36	             3.68645	            -4.74623	                0.55
124	         146.69	            0.172414	        0.42	          135.044	             267.397	             134.012	             265.232	             134.603	             266.668	             267.341	             3.50334	            -4.94585	                0.63
125	        146.752	                 0.2	        0.34	          135.039	             267.378	             134.084	             265.376	             134.553	             266.563	             267.333	             3.32673	            -5.15701	                0.59
126	        146.867	            0.188679	        0.37	          135.032	             267.357	              134.15	             265.511	             134.498	              266.45	              267.32	             3.15552	            -5.36318	                0.55
127	        146.991	                0.25	         0.3	           135.04	             267.366	             134.213	             265.638	             134.465	             266.378	             267.337	             2.98786	             -5.5899	                0.44
128	        147.117	            0.243902	        0.37	          135.037	             267.355	             134.273	             265.759	              134.41	             266.268	             267.331	             2.82327	            -5.80278	                0.39
129	        147.185	            0.253165	        0.31	           135.03	             267.337	             134.329	             265.875	             134.345	             266.139	             267.318	             2.66174	            -6.01197	                0.44
130	        147.301	            0.298507	        0.31	          135.025	             267.323	             134.382	             265.983	             134.279	             266.009	             267.308	             2.50399	            -6.22489	                 0.4
131	        147.391	            0.183486	        0.39	          135.025	             267.319	             134.433	             266.085	             134.219	             265.891	             267.307	             2.34901	            -6.44439	                0.54
132	        147.477	              0.3125	        0.31	           135.05	             267.381	             134.479	              266.18	             134.218	             265.933	             267.361	             2.31755	            -5.95314	                0.62
133	         147.53	            0.246914	        0.35	          135.047	              267.37	             134.522	             266.268	             134.151	             265.799	             267.354	             2.16967	            -6.16268	                0.51
134	        147.589	            0.294118	        0.31	          135.042	             267.357	             134.562	             266.349	             134.077	             265.654	             267.343	              2.0255	             -6.3697	                0.39
135	        147.654	            0.363636	        0.31	          135.039	             267.349	             134.598	             266.424	             134.008	             265.517	             267.338	             1.88426	            -6.58326	                0.53
136	        147.729	             0.30303	         0.3	          135.034	             267.336	             134.632	             266.493	             133.929	             265.362	             267.328	             1.74582	            -6.79069	                0.59
137	        147.784	            0.307692	        0.32	          135.031	             267.328	             134.663	             266.558	             133.851	              265.21	             267.321	             1.60945	            -7.00101	                0.46
138	        147.838	            0.294118	        0.34	           135.03	             267.325	             134.692	             266.617	             133.779	             265.069	             267.319	             1.47558	            -7.21627	                0.38
139	        147.889	            0.273973	         0.3	          135.028	             267.319	             134.719	             266.673	               133.7	             264.915	             267.314	             1.34379	            -7.42858	                 0.4
140	        147.925	            0.327869	        0.36	          135.029	             267.322	             134.744	             266.724	             133.635	             264.789	             267.318	             1.21418	            -7.62191	                0.44
141	        147.983	            0.263158	         0.3	          135.026	             267.314	             134.767	             266.771	             133.548	             264.619	             267.311	             1.08664	            -7.83204	                0.54
142	        148.029	            0.298507	        0.31	          135.024	             267.309	             134.788	             266.814	             133.463	             264.454	             267.306	            0.960829	             -8.0453	                 0.7
143	         148.06	            0.294118	        0.36	          135.022	             267.305	             134.807	             266.855	             133.379	             264.291	             267.303	            0.836633	            -8.25908	                0.46
144	        148.096	            0.215054	        0.34	          135.021	             267.302	             134.825	             266.891	             133.295	             264.128	             267.301	            0.714143	            -8.47475	                0.48
145	         148.13	            0.344828	         0.3	           135.02	             267.299	             134.841	             266.925	             133.209	             263.961	             267.298	            0.593133	            -8.68799	                0.35
146	        148.157	                0.25	        0.33	          135.019	             267.297	             134.856	             266.955	             133.124	             263.796	             267.296	            0.473501	            -8.90268	                0.46
147	        148.185	             0.19802	        0.35	          135.018	             267.294	              134.87	             266.984	             133.034	             263.622	             267.293	            0.355168	            -9.11562	                0.42
148	        148.208	             0.37037	         0.3	          135.016	             267.292	             134.882	             267.009	             132.944	             263.447	             267.291	            0.237995	            -9.32935	                0.34
149	        148.242	              0.3125	         0.3	          135.015	             267.289	             134.893	             267.033	             132.852	             263.269	             267.289	            0.121867	            -9.54232	                0.47
150	        148.274	            0.307692	         0.3	          135.014	             267.287	             134.904	             267.054	             132.759	              263.09	             267.287	          0.00665941	            -9.75494	                0.56
151	        148.291	            0.285714	        0.35	          135.014	             267.285	             134.913	             267.074	             132.665	             262.908	             267.285	           -0.107654	            -9.96761	                0.38
152	        148.307	             0.37037	        0.31	          135.013	             267.283	             134.922	             267.092	              132.57	             262.724	             267.283	           -0.221086	              -10.18	                0.35
153	        148.324	            0.338983	         0.3	          135.012	             267.282	              134.93	             267.109	             132.477	             262.543	             267.282	           -0.333717	            -10.3913	                0.35
154	        148.344	            0.408163	        0.32	          135.011	             267.281	             134.937	             267.123	              132.38	             262.356	              267.28	           -0.445661	            -10.6033	                0.49
155	        148.365	            0.363636	        0.31	          135.011	             267.279	             134.943	             267.137	             132.283	             262.167	             267.279	           -0.556987	            -10.8149	                 0.5
156	        148.382	            0.327869	        0.33	           135.01	             267.278	             134.949	              267.15	             132.187	             261.982	             267.278	            -0.66774	            -11.0274	                0.43
157	        148.396	            0.277778	        0.36	           135.01	             267.277	             134.955	             267.161	             132.089	             261.792	             267.277	           -0.777948	            -11.2387	                0.42
158	        148.407	            0.212766	        0.31	          135.009	             267.276	             134.959	             267.171	             131.989	             261.599	             267.276	           -0.887654	            -11.4496	                0.46
159	        148.415	            0.277778	        0.36	           135.01	             267.278	             134.964	              267.18	             131.918	             261.466	             267.278	           -0.996896	            -11.4531	                 0.7
160	        148.428	             0.30303	        0.31	           135.01	             267.277	             134.968	             267.189	              131.82	             261.275	             267.277	            -1.10572	            -11.6645	                 0.5
161	         148.44	            0.327869	         0.3	           135.01	             267.276	             134.972	             267.196	              131.72	             261.081	             267.276	            -1.21418	            -11.8754	                0.42
162	        148.449	            0.243902	        0.36	          135.009	             267.276	             134.975	             267.203	             131.623	             260.893	             267.276	             -1.3223	            -12.0848	                0.38
163	        148.456	            0.162602	        0.34	          135.009	             267.276	             134.978	              267.21	             131.528	              260.71	             267.276	            -1.43011	            -12.2926	                0.39
164	        148.462	            0.350877	         0.3	          135.009	             267.275	             134.981	             267.215	             131.426	             260.512	             267.275	            -1.53762	            -12.5029	                0.31
165	         148.47	             0.25641	        0.29	          135.009	             267.274	             134.983	             267.221	             131.326	             260.317	             267.274	            -1.64488	            -12.7139	                 0.4
166	        148.475	            0.206186	        0.37	          135.008	             267.274	             134.985	             267.225	             131.228	             260.127	             267.274	             -1.7519	            -12.9225	                0.52
167	        148.482	            0.204082	        0.34	          135.008	             267.274	             134.987	             267.229	             131.131	             259.939	             267.274	            -1.85871	            -13.1314	                0.53
168	        148.487	            0.165289	         0.4	          135.008	             267.273	             134.989	             267.233	             131.031	             259.744	             267.273	            -1.96533	            -13.3417	                0.49
169	        148.492	            0.168067	         0.3	          135.008	             267.273	             134.991	             267.237	             130.929	             259.547	             267.273	            -2.07177	            -13.5526	                0.51
170	        148.496	             0.21978	        0.36	          135.008	             267.272	             134.992	              267.24	             130.827	             259.348	             267.272	            -2.17806	            -13.7631	                0.57
171	        148.502	             0.17094	        0.36	          135.007	             267.272	             134.994	             267.243	             130.726	             259.153	             267.272	             -2.2842	            -13.9729	                0.41
172	        148.507	            0.121951	        0.39	          135.007	             267.272	             134.995	             267.245	             130.624	             258.954	             267.272	            -2.39021	            -14.1834	                0.43
