  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS	    sampling seconds
951	        403.108	          0.00183705	       10.58	          305.618	             610.943	              303.52	             606.633	             305.487	             610.714	             610.847	             5.97354	            -3.20384	                0.32
952	        403.231	           0.0010798	       20.04	          305.582	             610.861	             303.612	             606.819	             305.432	             610.594	             610.776	             5.77616	            -3.33874	                0.41
953	         403.39	         0.000418813	       53.58	          305.752	             611.179	               303.7	             606.994	             305.614	             610.929	             611.117	             5.58404	            -3.64604	                0.52
954	        403.509	           0.0206825	        1.14	          305.782	             611.229	             303.783	             607.162	             305.636	              610.96	             611.178	             5.39551	            -3.86084	                0.29
955	        403.664	          0.00136166	       14.23	          305.772	             611.202	             303.862	              607.32	             305.612	             610.904	              611.16	             5.21223	            -4.03817	                0.28
956	         403.83	          0.00175577	        11.5	          305.784	             611.219	             303.939	             607.474	             305.612	             610.897	             611.185	             5.03075	            -4.24691	                0.32
957	        403.917	          0.00134363	       14.82	          305.784	             611.215	             304.013	             607.623	             305.598	             610.863	             611.186	             4.85176	            -4.42711	                0.32
958	        404.016	         0.000987508	       21.95	          305.746	             611.134	             304.081	              607.76	             305.536	             610.736	             611.109	             4.67892	            -4.56426	                 0.4
959	         404.16	           0.0108342	        1.27	           305.73	               611.1	             304.146	             607.891	             305.501	             610.663	             611.078	             4.50915	            -4.73563	                0.28
960	        404.264	         0.000558706	        48.2	          305.761	             611.158	             304.208	             608.015	             305.523	             610.704	             611.141	             4.34238	            -4.94553	                0.54
961	        404.425	            0.016488	        1.09	          305.744	             611.121	             304.268	             608.136	             305.484	             610.624	             611.107	             4.17748	            -5.10058	                0.29
962	        404.515	          0.00207189	        9.83	          305.795	             611.224	             304.325	             608.251	             305.533	             610.722	             611.209	             4.01544	            -5.13981	                0.33
963	        404.666	           0.0018357	       11.04	          305.759	             611.151	              304.38	             608.362	             305.469	             610.593	             611.139	             3.85557	            -5.28276	                0.36
964	        404.798	         0.000932749	       20.77	           305.76	              611.15	             304.434	             608.471	             305.451	             610.555	              611.14	              3.6965	            -5.47312	                0.34
965	        404.928	           0.0252845	        1.06	          305.756	             611.141	             304.486	             608.576	             305.426	             610.504	             611.133	             3.53955	             -5.6594	                 0.3
966	        405.099	          0.00148633	       13.48	          305.734	             611.097	             304.539	             608.682	             305.374	               610.4	              611.09	             3.38209	            -5.84094	                0.34
967	        405.267	          0.00215008	        9.57	          305.751	             611.129	             304.592	             608.787	             305.374	               610.4	             611.124	             3.22485	            -6.01575	                0.35
968	        405.396	         0.000499938	       49.04	          305.764	             611.156	             304.643	             608.892	              305.37	             610.391	             611.151	             3.06818	            -6.19695	                0.47
969	        405.533	           0.0134771	        0.97	          305.789	             611.205	             304.695	             608.996	             305.381	             610.413	               611.2	             2.91169	            -6.23254	                0.29
970	        405.677	          0.00170372	       12.27	          305.781	             611.189	             304.746	             609.098	             305.342	             610.337	             611.185	             2.75599	            -6.39775	                0.34
971	        405.792	         0.000589797	       41.63	          305.913	             611.462	             304.795	             609.197	             305.517	               610.7	             611.452	              3.4684	            -5.46868	                0.51
972	        405.901	           0.0301659	         1.1	          305.907	             611.449	             304.842	             609.293	             305.484	             610.633	              611.44	             3.31611	            -5.66621	                0.32
973	        406.052	          0.00189466	       10.32	          305.894	             611.422	             304.888	             609.385	             305.439	             610.542	             611.415	             3.16528	            -5.85648	                0.31
974	        406.211	          0.00189304	       10.86	          305.881	             611.394	             304.934	             609.478	              305.39	             610.443	             611.388	             3.01458	            -6.03706	                0.39
975	         406.34	         0.000661857	       30.63	          305.909	              611.45	              304.98	              609.57	             305.407	             610.475	             611.445	             2.86383	            -6.23136	                0.32
976	        406.464	           0.0239808	        1.12	          305.931	             611.493	             305.025	             609.661	             305.413	             610.487	             611.489	             2.71418	            -6.40208	                0.29
977	        406.566	          0.00185048	       10.92	          305.931	             611.492	             305.069	             609.749	             305.382	             610.425	             611.489	             2.56571	            -6.58713	                 0.3
978	          406.7	         0.000437943	          49	          305.937	             611.506	              305.11	             609.833	             305.362	             610.387	             611.503	             2.41928	            -6.74872	                0.52
979	        406.776	           0.0215054	        1.12	          305.923	             611.476	             305.151	             609.915	             305.303	             610.268	             611.474	              2.2738	            -6.94207	                0.29
980	         406.89	         0.000716204	       29.26	          305.919	             611.468	              305.19	             609.993	             305.261	             610.185	             611.466	             2.13033	            -7.10426	                0.39
